"tool","engine","n","rep","wall_s","compute_s","startup_s","seqs_per_s","rss_gb","ok","seq_len"
"TmCalculator","R with a compiled C++ core",100,1,8.13,0.128,8.002,781.25,0.7804928,TRUE,NA
"TmCalculator","R with a compiled C++ core",100,2,8.221,0.145,8.076,689.655172413793,0.780476416,TRUE,NA
"TmCalculator","R with a compiled C++ core",100,3,8.203,0.16,8.043,625,0.779657216,TRUE,NA
"rmelting","R calling the MELTING 5 Java engine",100,1,7.136,6.483,0.653000000000003,15.4249575813667,0.180076544,TRUE,NA
"rmelting","R calling the MELTING 5 Java engine",100,2,5.907,5.339,0.567999999999996,18.7300992695261,0.179634176,TRUE,NA
"rmelting","R calling the MELTING 5 Java engine",100,3,5.952,5.335,0.616999999999998,18.7441424554827,0.18049024,TRUE,NA
"Biopython","pure Python",100,1,0.162999999999997,0.021,0.141999999999997,4761.90476190476,0.010289152,TRUE,NA
"Biopython","pure Python",100,2,0.122999999999998,0.0254,0.0975999999999975,3937.00787401575,0.010371072,TRUE,NA
"Biopython","pure Python",100,3,0.106999999999999,0.0209,0.0860999999999993,4784.68899521531,0.010211328,TRUE,NA
"TmCalculator","R with a compiled C++ core",1000,1,7.315,0.155,7.16,6451.61290322581,0.783138816,TRUE,200
"TmCalculator","R with a compiled C++ core",1000,2,7.176,0.147,7.029,6802.72108843537,0.786735104,TRUE,200
"TmCalculator","R with a compiled C++ core",1000,3,7.097,0.145,6.952,6896.55172413793,0.79171584,TRUE,200
"TmCalculator","R with a compiled C++ core",10000,1,7.409,0.514,6.895,19455.2529182879,0.78245888,TRUE,200
"TmCalculator","R with a compiled C++ core",10000,2,7.767,0.506,7.261,19762.8458498024,0.784244736,TRUE,200
"TmCalculator","R with a compiled C++ core",10000,3,7.401,0.514,6.887,19455.2529182879,0.785608704,TRUE,200
"TmCalculator","R with a compiled C++ core",100000,1,13.38,5.126,8.254,19508.3886071011,0.805388288,TRUE,200
"TmCalculator","R with a compiled C++ core",100000,2,12.337,4.605,7.732,21715.5266015201,0.818835456,TRUE,200
"TmCalculator","R with a compiled C++ core",100000,3,11.85,4.559,7.29099999999999,21934.6347883308,0.812007424,TRUE,200
"Biopython","pure Python",1000,1,0.371000000000009,0.2108,0.160200000000009,4743.8330170778,0.010616832,TRUE,200
"Biopython","pure Python",1000,2,0.295000000000002,0.2043,0.0907000000000017,4894.7626040137,0.01071104,TRUE,200
"Biopython","pure Python",1000,3,0.295999999999992,0.2064,0.0895999999999923,4844.96124031008,0.010493952,TRUE,200
"Biopython","pure Python",10000,1,2.143,2.0471,0.0959000000000008,4884.95921059059,0.01447936,TRUE,200
"Biopython","pure Python",10000,2,2.188,2.085,0.103000000000002,4796.16306954436,0.014618624,TRUE,200
"Biopython","pure Python",10000,3,2.16,2.0611,0.0988999999999964,4851.77817670176,0.014426112,TRUE,200
"Biopython","pure Python",100000,1,20.243,20.062,0.180999999999994,4984.54790150533,0.054935552,TRUE,200
"Biopython","pure Python",100000,2,20.81,20.6043,0.205700000000004,4853.35585290449,0.055427072,TRUE,200
"Biopython","pure Python",100000,3,20.254,20.0662,0.187800000000021,4983.50459977475,0.054788096,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",1000,1,257.346,256.653,0.692999999999984,3.89631136203356,0.287002624,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",1000,2,261.334,260.687,0.646999999999935,3.83601790653159,0.273637376,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",1000,3,251.814,251.067,0.746999999999957,3.98300055363708,0.247762944,TRUE,200
"TmCalculator","R with a compiled C++ core",50000,1,9.442,2.624,6.818,19054.8780487805,0.770822144,TRUE,200
"TmCalculator","R with a compiled C++ core",50000,2,9.669,2.573,7.096,19432.5689856199,0.77043712,TRUE,200
"TmCalculator","R with a compiled C++ core",50000,3,9.333,2.449,6.884,20416.4965291956,0.772038656,TRUE,200
"TmCalculator","R with a compiled C++ core",150000,1,15.276,7.764,7.512,19319.9381761978,0.867405824,TRUE,200
"TmCalculator","R with a compiled C++ core",150000,2,14.955,7.651,7.30400000000001,19605.2803555091,0.868790272,TRUE,200
"TmCalculator","R with a compiled C++ core",150000,3,14.777,7.238,7.539,20723.9568941697,0.869240832,TRUE,200
"TmCalculator","R with a compiled C++ core",200000,1,18.03,9.588,8.44199999999999,20859.4075928244,0.897462272,TRUE,200
"TmCalculator","R with a compiled C++ core",200000,2,18.489,9.87,8.61900000000001,20263.4245187437,0.896290816,TRUE,200
"TmCalculator","R with a compiled C++ core",200000,3,18.192,9.606,8.58600000000001,20820.3206329377,0.89714688,TRUE,200
"Biopython","pure Python",50000,1,10.762,10.5824,0.179600000000001,4724.82612639855,0.033419264,TRUE,200
"Biopython","pure Python",50000,2,11.3,11.1343,0.165700000000012,4490.62805924037,0.03293184,TRUE,200
"Biopython","pure Python",50000,3,10.29,10.1504,0.139599999999993,4925.91424968474,0.032653312,TRUE,200
"Biopython","pure Python",150000,1,34.02,33.7073,0.312700000000014,4450.07461291768,0.078983168,TRUE,200
"Biopython","pure Python",150000,2,33.707,33.4232,0.283800000000021,4487.90061992867,0.079835136,TRUE,200
"Biopython","pure Python",150000,3,33.493,33.1758,0.317199999999993,4521.36798509757,0.079347712,TRUE,200
"Biopython","pure Python",200000,1,42.554,42.2157,0.338299999999975,4737.57393576324,0.10266624,TRUE,200
"Biopython","pure Python",200000,2,41.033,40.7014,0.331600000000016,4913.83588770902,0.101822464,TRUE,200
"Biopython","pure Python",200000,3,41.981,41.6364,0.344599999999993,4803.48925459454,0.10192896,TRUE,200
