"tool","n","reps","compute_med","compute_lo","compute_hi","seqs_per_s","rss_med","rss_lo","rss_hi","startup_med"
"Biopython",100,3,0.021,0.0209,0.0254,4761.90476190476,0.010289152,0.010211328,0.010371072,0.0975999999999975
"Biopython",1000,3,0.2064,0.2043,0.2108,4844.96124031008,0.010616832,0.010493952,0.01071104,0.0907000000000017
"Biopython",10000,3,2.0611,2.0471,2.085,4851.77817670176,0.01447936,0.014426112,0.014618624,0.0988999999999964
"Biopython",50000,3,10.5824,10.1504,11.1343,4724.82612639855,0.03293184,0.032653312,0.033419264,0.165700000000012
"Biopython",100000,3,20.0662,20.062,20.6043,4983.50459977475,0.054935552,0.054788096,0.055427072,0.187800000000021
"Biopython",150000,3,33.4232,33.1758,33.7073,4487.90061992867,0.079347712,0.078983168,0.079835136,0.312700000000014
"Biopython",200000,3,41.6364,40.7014,42.2157,4803.48925459454,0.10192896,0.101822464,0.10266624,0.338299999999975
"rmelting",100,3,5.339,5.335,6.483,18.7300992695261,0.180076544,0.179634176,0.18049024,0.616999999999998
"rmelting",1000,3,256.653,251.067,260.687,3.89631136203356,0.273637376,0.247762944,0.287002624,0.692999999999984
"TmCalculator",100,3,0.145,0.128,0.16,689.655172413793,0.780476416,0.779657216,0.7804928,8.043
"TmCalculator",1000,3,0.147,0.145,0.155,6802.72108843537,0.786735104,0.783138816,0.79171584,7.029
"TmCalculator",10000,3,0.514,0.506,0.514,19455.2529182879,0.784244736,0.78245888,0.785608704,6.895
"TmCalculator",50000,3,2.573,2.449,2.624,19432.5689856199,0.770822144,0.77043712,0.772038656,6.884
"TmCalculator",100000,3,4.605,4.559,5.126,21715.5266015201,0.812007424,0.805388288,0.818835456,7.732
"TmCalculator",150000,3,7.651,7.238,7.764,19605.2803555091,0.868790272,0.867405824,0.869240832,7.512
"TmCalculator",200000,3,9.606,9.588,9.87,20820.3206329377,0.89714688,0.896290816,0.897462272,8.58600000000001
