"tool","engine","n","rep","wall_s","compute_s","launch_s","load_s","startup_s","io_s","seqs_per_s","rss_gb","ok","seq_len","pkg_version"
"TmCalculator","R with a compiled C++ core",100,1,2.978,0.123,0.308,2.544,2.852,0.003,813.008130081301,0.339193856,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",100,2,2.681,0.096,0.257,2.325,2.582,0.003,1041.66666666667,0.339177472,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",100,3,2.577,0.096,0.235,2.243,2.478,0.003,1041.66666666667,0.340054016,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",300,1,2.954,0.133,0.318999999999999,2.498,2.817,0.004,2255.63909774436,0.34052096,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",300,2,2.631,0.105,0.258999999999998,2.265,2.524,0.002,2857.14285714286,0.340144128,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",300,3,2.549,0.104,0.245999999999999,2.196,2.442,0.003,2884.61538461538,0.340430848,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",1000,1,2.582,0.133,0.248000000000001,2.195,2.443,0.006,7518.7969924812,0.34295808,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",1000,2,2.581,0.14,0.255999999999999,2.18,2.436,0.005,7142.85714285714,0.342585344,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",1000,3,2.468,0.132,0.262000000000004,2.069,2.331,0.005,7575.75757575758,0.343912448,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",3000,1,2.651,0.215,0.246,2.178,2.424,0.012,13953.488372093,0.34340864,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",3000,2,2.644,0.214,0.244999999999998,2.175,2.42,0.01,14018.691588785,0.343601152,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",3000,3,2.711,0.213,0.274999999999999,2.213,2.488,0.01,14084.5070422535,0.346959872,TRUE,200,"1.10.0"
