"tool","n","reps","compute_med","compute_lo","compute_hi","seqs_per_s","rss_med","rss_lo","rss_hi","startup_med","startup_lo","startup_hi","io_med"
"Biopython",100,3,0.021,0.0205,0.0213,4761.90476190476,0.01032192,0.010289152,0.010354688,0.0940999999999854,0.0914999999999996,0.173499999999993,6e-04
"Biopython",300,3,0.0625,0.0618,0.0628,4800,0.010366976,0.010354688,0.010412032,0.0957999999999918,0.09050000000002,0.0986000000000109,7e-04
"Biopython",1000,3,0.2136,0.2047,0.2137,4681.64794007491,0.01069056,0.010575872,0.01073152,0.0960000000000209,0.0891999999999831,0.102899999999984,0.0014
"Biopython",3000,3,0.6207,0.6145,0.6228,4833.25277912035,0.011522048,0.01150976,0.011771904,0.0990000000000038,0.0915000000000034,0.108399999999999,0.0031
"Biopython",10000,3,2.0701,2.0672,2.0781,4830.68450799478,0.014532608,0.014471168,0.014626816,0.0994999999999971,0.0898000000000209,0.103499999999993,0.0094
"Biopython",30000,3,6.6377,6.2713,7.1749,4519.63782635552,0.024264704,0.024064,0.024367104,0.152899999999989,0.094200000000005,0.15439999999998,0.0285
"Biopython",100000,3,21.2312,20.6597,21.2901,4710.04936131731,0.055304192,0.054939648,0.05578752,0.132199999999974,0.115899999999992,0.157399999999987,0.092
"Biopython",300000,3,62.8029,61.6619,63.2765,4776.84947669614,0.149950464,0.149929984,0.15003648,0.168299999999994,0.118399999999971,0.16910000000003,0.2708
"rmelting",100,3,5.329,5.301,5.373,18.7652467629949,0.18098176,0.180191232,0.182161408,0.549999999999999,0.498000000000001,0.561999999999999,0.002
"rmelting",300,3,28.479,28.362,28.517,10.5340777414937,0.202665984,0.201957376,0.203292672,0.538,0.511999999999999,0.579999999999999,0.003
"rmelting",1000,3,263.202,254.518,267.861,3.7993632267232,0.282435584,0.279560192,0.314875904,0.72700000000007,0.682000000000013,2.36500000000002,0.006
"TmCalculator",100,3,0.096,0.096,0.123,1041.66666666667,0.339193856,0.339177472,0.340054016,2.582,2.478,2.852,0.003
"TmCalculator",300,3,0.105,0.104,0.133,2857.14285714286,0.340430848,0.340144128,0.34052096,2.524,2.442,2.817,0.003
"TmCalculator",1000,3,0.133,0.132,0.14,7518.7969924812,0.34295808,0.342585344,0.343912448,2.436,2.331,2.443,0.005
"TmCalculator",3000,3,0.214,0.213,0.215,14018.691588785,0.343601152,0.34340864,0.346959872,2.424,2.42,2.488,0.01
"TmCalculator",10000,3,0.494,0.493,0.504,20242.9149797571,0.350879744,0.350871552,0.352518144,2.431,2.408,2.438,0.028
"TmCalculator",30000,3,1.326,1.324,1.329,22624.4343891403,0.35221504,0.35176448,0.355766272,2.417,2.41299999999999,2.45,0.102
"TmCalculator",100000,3,4.529,4.516,4.547,22079.9293442261,0.389136384,0.384950272,0.38961152,2.468,2.436,2.474,0.275
"TmCalculator",300000,3,13.647,13.339,13.815,21982.853374368,0.57925632,0.578531328,0.58038272,2.342,2.296,2.421,1.374
