"strategy","n_workers","n_tasks","wall_s","startup_s","wall_compute_s","work_s","balance_floor","hard_floor","speedup","efficiency","idle_s","max_rss_gb","n_windows","rep","host","cpu_model"
"static",1,24,597.742,0.0010000000000332,597.741,597.688,597.688,54.906,0.99991133283479,0.99991133283479,0.0539999999998599,4.07799808,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",2,24,410.015,7.514,402.501,573.376,286.688,55.112,1.42453310675005,0.712266553375023,246.654,4.294258688,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",3,24,314.426,7.559,306.867,587.876,195.958666666667,55.926,1.91573548149524,0.638578493831747,355.402,4.140539904,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",4,24,259.713,8.081,251.632,618.045,154.51125,59.364,2.45614627710307,0.614036569275767,420.807000000001,4.14836736,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",5,24,228.146,8.15,219.996,631.028,126.2056,61.383,2.86836124293169,0.573672248586337,509.702000000001,4.031062016,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",6,24,196.993,8.274,188.719,650.448,108.408,62.605,3.44664819122611,0.574441365204352,531.51,4.031176704,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",1,24,546.009,0,546.009,545.973999999999,545.973999999999,50.8790000000001,0.999935898492515,0.999935898492515,0.0350000000005366,4.562382848,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",2,24,297.442,7.276,290.166,567.036,283.518,55.829,1.95417795330949,0.977088976654743,27.848,3.939631104,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",3,24,212.425,7.549,204.876,592.606,197.535333333333,56.779,2.89251059177258,0.964170197257527,44.6690000000006,4.094173184,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",4,24,176.016,8.092,167.924,647.919,161.97975,60.971,3.85840618374979,0.964601545937448,56.1450000000002,3.547328512,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",5,24,151.158,10.784,140.374,659.504,131.9008,61.133,4.69819197287247,0.939638394574494,96.2859999999995,3.435974656,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",6,24,129.216,8.364,120.852,680.201,113.366833333333,62.696,5.62838016747756,0.93806336124626,95.0950000000021,3.82406656,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",1,73,585.42,0.00100000000020373,585.418999999999,585.359,585.359,12.3440000000001,0.999897509305302,0.999897509305302,0.0609999999996944,4.629950464,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",2,73,302.781,7.471,295.31,578.189,289.0945,13.734,1.95790525210795,0.978952626053977,27.3729999999998,2.533113856,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",3,73,211.304,7.579,203.725,594.165,198.055,13.849,2.9165050926494,0.972168364216468,39.7470000000003,2.631274496,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",4,73,177.956999999999,8.146,169.810999999999,655.516,163.879,15.02,3.86026818050658,0.965067045126644,56.3119999999976,2.457145344,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",5,73,146.034,8.192,137.842,661.439,132.2878,15.128,4.79853020124492,0.959706040248983,68.7309999999983,2.507333632,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",6,73,126.960999999999,8.418,118.542999999999,675.354,112.559,15.397,5.69712256312059,0.949520427186765,86.4119999999959,2.39140864,14687330,1,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",1,24,597.894,0.00100000000020373,597.893,597.860000000001,597.860000000001,49.8399999999992,0.999944806177695,0.999944806177695,0.0339999999996508,4.583784448,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",2,24,432.536999999999,7.635,424.901999999999,597.128,298.564,55.876,1.40533111164457,0.702665555822285,267.945999999999,4.292292608,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",3,24,335.55,8.35,327.2,638.018,212.672666666667,62.191,1.94993276283618,0.649977587612062,368.632000000001,4.017803264,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",4,24,262.817,8.136,254.681,619.803,154.95075,60.446,2.43364444147777,0.608411110369443,431.465,4.152541184,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",5,24,229.521,8.184,221.337,631.528,126.3056,60.484,2.85324188906509,0.570648377813019,516.076999999999,3.78488832,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",6,24,196.794,8.351,188.443,651.646,108.607666666667,60.575,3.45805362894881,0.576342271491468,529.117999999999,3.572072448,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",1,24,576.042,0.00100000000020373,576.041,576.004999999999,576.004999999999,50.1550000000007,0.999937504448466,0.999937504448466,0.0370000000011714,4.58743808,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",2,24,328.064,8.529,319.535,623.69,311.845,62.636,1.95186755754456,0.975933778772278,32.4380000000006,4.17660928,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",3,24,223.920000000001,8.011,215.909000000001,626.266,208.755333333333,60.462,2.90060164235857,0.966867214119524,45.4940000000029,4.03034112,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
