"strategy","n_workers","n_tasks","wall_s","startup_s","wall_compute_s","work_s","balance_floor","hard_floor","speedup","efficiency","idle_s","max_rss_gb","n_windows","rep"
"static",1,24,590.532,0.0010000000000332,590.531,590.492,590.492,55.191,0.999933957743116,0.999933957743116,0.0389999999999873,4.589207552,14687330,1
"static",2,24,439.234,7.299,431.935,613.937,306.9685,57.119,1.42136432565085,0.710682162825425,249.933,4.063473664,14687330,1
"static",3,24,338.296,8.198,330.098,643.662,214.554,61.313,1.94991184436137,0.649970614787124,346.632,4.059635712,14687330,1
"static",4,24,278.121,8.158,269.963,656.542,164.1355,62.906,2.43197030704208,0.607992576760519,423.31,3.854471168,14687330,1
"static",5,24,261.651,9.17,252.481,729.957,145.9914,71.702,2.89113636273621,0.578227272547241,532.448,3.63726848,14687330,1
"static",6,24,270.047,9.72,260.327,979.211,163.201833333333,103.832,3.76146538776231,0.626910897960386,582.751,3.353243648,14687330,1
"dynamic",1,24,588.889,0.00100000000020373,588.888,588.859,588.859,53.1590000000001,0.999950754642648,0.999950754642648,0.0289999999999964,4.526505984,14687330,1
"dynamic",2,24,325.237,6.989,318.248,620.66,310.33,59.834,1.95024006435233,0.975120032176164,15.8360000000002,3.963826176,14687330,1
"dynamic",3,24,239.29,7.192,232.098,671.026,223.675333333333,60.444,2.89113219415936,0.963710731386455,25.2679999999998,3.382616064,14687330,1
"dynamic",4,24,218.022,8.176,209.846,795.828,198.957,70.103,3.79243826425093,0.948109566062732,43.5559999999998,2.9714432,14687330,1
"dynamic",5,24,240.788,8.796,231.992,1084.888,216.9776,93.696,4.67640263457361,0.935280526914721,75.0720000000001,2.670432256,14687330,1
"dynamic",6,24,271.965,9.985,261.98,1481.912,246.985333333333,122.364,5.6565844720971,0.942764078682851,89.9680000000008,2.106953728,14687330,1
"segment",1,73,578.537,0.00100000000020373,578.536,578.488000000003,578.488000000003,11.0450000000001,0.99991703195653,0.99991703195653,0.047999999997046,4.975099904,14687330,1
"segment",2,73,328.038,6.912,321.126,630.35,315.175,13.795,1.96293666660438,0.981468333302191,11.9020000000011,2.754220032,14687330,1
"segment",3,73,238.185,7.959,230.226,669.192,223.064,15.628,2.90667431132886,0.968891437109621,21.4860000000011,2.580774912,14687330,1
"segment",4,73,192.299999999999,8.253,184.046999999999,711.881,177.97025,15.7,3.86793047428104,0.96698261857026,24.3069999999973,2.343645184,14687330,1
"segment",5,73,176.025000000001,9.268,166.757000000001,784.372,156.8744,16.68,4.7036826040286,0.94073652080572,49.4130000000027,2.098147328,14687330,1
"segment",6,73,203.781,9.807,193.974,1085.878,180.979666666667,22.285,5.59805953375195,0.933009922291991,77.9659999999997,1.702477824,14687330,1
"static",1,24,583.097,0.00100000000020373,583.096,583.071000000001,583.071000000001,51.8450000000003,0.999957125413313,0.999957125413313,0.0249999999987267,4.748115968,14687330,2
"static",2,24,431.161,7.128,424.033,606.571,303.2855,58.356,1.43048064655345,0.715240323276726,241.495,4.042575872,14687330,2
"static",3,24,335.524,7.498,328.026,638.182,212.727333333333,57.238,1.94552261101254,0.64850753700418,345.896000000001,4.073926656,14687330,2
"static",4,24,276.656,7.613,269.043,645.617,161.40425,59.617,2.39967960511889,0.599919901279721,430.555,3.81720576,14687330,2
"static",5,24,259.908,8.995,250.913,717.194,143.4388,68.905,2.85833735199053,0.571667470398105,537.371000000002,3.720884224,14687330,2
"static",6,24,253.391,8.837,244.554,902,150.333333333333,92.163,3.68834694995789,0.614724491659648,565.323999999998,2.993647616,14687330,2
"dynamic",1,24,592.235,0.00100000000020373,592.233999999999,592.204,592.204,54.1089999999995,0.999949344346998,0.999949344346998,0.0299999999997453,4.736831488,14687330,2
"dynamic",2,24,322.652,7.357,315.295,617.726,308.863,58.975,1.95920011417879,0.979600057089393,12.8639999999999,3.858751488,14687330,2
"dynamic",3,24,254.432000000001,7.209,247.223000000001,709.602,236.534,64.215,2.87029119458949,0.956763731529831,32.0670000000021,3.278024704,14687330,2
"dynamic",4,24,231.329,8.166,223.163,829.786,207.4465,69.716,3.71829559559605,0.929573898899012,62.865999999999,2.68791808,14687330,2
"dynamic",5,24,255.013999999999,8.664,246.349999999999,1149.678,229.9356,88.184,4.66684798051554,0.933369596103108,82.071999999996,2.36670976,14687330,2
"dynamic",6,24,294.885999999999,9.869,285.016999999999,1611.758,268.626333333333,139.118,5.65495391502966,0.94249231917161,98.3439999999914,2.14833152,14687330,2
"segment",1,73,573.636999999999,0.00100000000020373,573.635999999999,573.596000000001,573.596000000001,12.3429999999989,0.999930269369431,0.999930269369431,0.0399999999972351,4.689268736,14687330,2
"segment",2,73,320.362999999999,7.009,313.353999999999,614.026,307.013,13.789,1.95952820133141,0.979764100665703,12.6819999999988,2.582388736,14687330,2
"segment",3,73,227.032999999999,7.625,219.407999999999,638.306,212.768666666667,13.676,2.90921935389777,0.969739784632589,19.9179999999984,2.575048704,14687330,2
"segment",4,73,227.124,7.958,219.166,837.413,209.35325,17.829,3.82090744002263,0.955226860005659,39.2509999999992,2.065969152,14687330,2
"segment",5,73,210.855,8.508,202.347,955.429,191.0858,21.711,4.72173543467411,0.944347086934822,56.3059999999978,1.861214208,14687330,2
"segment",6,73,222.027,10.648,211.379,1180.048,196.674666666667,26.992,5.58261700547358,0.93043616757893,88.2260000000003,2.078035968,14687330,2
"static",1,24,601.617,0.00100000000020373,601.616,601.579999999998,601.579999999998,58.652,0.999940161165923,0.999940161165923,0.0360000000018772,4.750565376,14687330,3
"static",2,24,441.064999999999,6.834,434.230999999999,623.105,311.5525,56.832,1.4349620363355,0.717481018167752,245.356999999997,4.10574848,14687330,3
"static",3,24,331.475,7.902,323.573,629.212,209.737333333333,60.811,1.94457510360877,0.648191701202922,341.507000000001,3.89122048,14687330,3
"static",4,24,279.328000000001,8.055,271.273000000001,658.273,164.56825,61.907,2.42660714483195,0.606651786207987,426.819000000005,3.882102784,14687330,3
"static",5,24,259.713,8.696,251.017,732.647,146.5294,70.714,2.91871466872762,0.583742933745524,522.437999999999,3.701829632,14687330,3
"static",6,24,255.384,11.781,243.603,906.252,151.042,92.398,3.72020049014175,0.620033415023625,555.366,3.971887104,14687330,3
"dynamic",1,24,589.088,0.00100000000020373,589.087,589.062000000002,589.062000000002,53.4420000000009,0.999957561446785,0.999957561446785,0.0249999999978172,4.822880256,14687330,3
"dynamic",2,24,332.526,7.397,325.129,635.935,317.9675,59.39,1.95594671653405,0.977973358267027,14.3229999999998,3.851681792,14687330,3
"dynamic",3,24,245.244999999999,7.876,237.368999999999,683.947,227.982333333333,63.582,2.88136614300942,0.96045538100314,28.1599999999969,3.600060416,14687330,3
"dynamic",4,24,210.679,8.043,202.636,776.057,194.01425,66.648,3.8298081288616,0.957452032215401,34.4870000000003,2.900856832,14687330,3
"dynamic",5,24,245.049000000001,8.669,236.380000000001,1093.937,218.7874,86.441,4.62787460868092,0.925574921736184,87.9630000000045,2.72924672,14687330,3
"dynamic",6,24,269.214,8.16,261.054,1453.857,242.3095,127.485,5.5691810889701,0.928196848161683,112.467,2.809839616,14687330,3
"segment",1,73,581.882000000001,0.00100000000020373,581.881000000001,581.834999999999,581.834999999999,11.5220000000008,0.999920946035354,0.999920946035354,0.0460000000020955,4.873596928,14687330,3
