"tool","engine","n","rep","wall_s","compute_s","startup_s","seqs_per_s","rss_gb","ok","seq_len"
"TmCalculator","R with a compiled C++ core",100,1,3.413,0.107,3.306,934.579439252336,0.343789568,TRUE,200
"TmCalculator","R with a compiled C++ core",100,2,2.833,0.106,2.727,943.396226415094,0.343298048,TRUE,200
"TmCalculator","R with a compiled C++ core",100,3,3.01,0.101,2.909,990.09900990099,0.344092672,TRUE,200
"TmCalculator","R with a compiled C++ core",300,1,2.801,0.12,2.681,2500,0.343711744,TRUE,200
"TmCalculator","R with a compiled C++ core",300,2,2.515,0.109,2.406,2752.29357798165,0.342245376,TRUE,200
"TmCalculator","R with a compiled C++ core",300,3,2.638,0.113,2.525,2654.86725663717,0.34541568,TRUE,200
"TmCalculator","R with a compiled C++ core",1000,1,2.454,0.141,2.313,7092.19858156028,0.346206208,TRUE,200
"TmCalculator","R with a compiled C++ core",1000,2,2.465,0.143,2.322,6993.00699300699,0.343908352,TRUE,200
"TmCalculator","R with a compiled C++ core",1000,3,2.532,0.139,2.393,7194.24460431655,0.343986176,TRUE,200
"TmCalculator","R with a compiled C++ core",3000,1,2.693,0.245,2.448,12244.8979591837,0.349253632,TRUE,200
"TmCalculator","R with a compiled C++ core",3000,2,2.665,0.218,2.447,13761.4678899083,0.34553856,TRUE,200
"TmCalculator","R with a compiled C++ core",3000,3,2.698,0.221,2.477,13574.6606334842,0.345542656,TRUE,200
"TmCalculator","R with a compiled C++ core",10000,1,2.938,0.496,2.442,20161.2903225806,0.354340864,TRUE,200
"TmCalculator","R with a compiled C++ core",10000,2,3.042,0.508,2.534,19685.0393700787,0.35545088,TRUE,200
"TmCalculator","R with a compiled C++ core",10000,3,2.991,0.501,2.49,19960.0798403194,0.35373056,TRUE,200
"TmCalculator","R with a compiled C++ core",30000,1,3.88200000000001,1.33,2.552,22556.3909774436,0.350134272,TRUE,200
"TmCalculator","R with a compiled C++ core",30000,2,3.813,1.352,2.461,22189.349112426,0.353890304,TRUE,200
"TmCalculator","R with a compiled C++ core",30000,3,3.88500000000001,1.338,2.54700000000001,22421.5246636771,0.35074048,TRUE,200
"TmCalculator","R with a compiled C++ core",100000,1,7.03100000000001,4.456,2.57500000000001,22441.6517055655,0.38883328,TRUE,200
"TmCalculator","R with a compiled C++ core",100000,2,7.22,4.54,2.68,22026.4317180617,0.3919872,TRUE,200
"TmCalculator","R with a compiled C++ core",100000,3,7.268,4.561,2.707,21925.0164437623,0.385888256,TRUE,200
"TmCalculator","R with a compiled C++ core",300000,1,17.321,13.593,3.728,22070.1831825204,0.580317184,TRUE,200
"TmCalculator","R with a compiled C++ core",300000,2,18.087,14.288,3.799,20996.640537514,0.579342336,TRUE,200
"TmCalculator","R with a compiled C++ core",300000,3,17.207,13.43,3.77699999999999,22338.0491437081,0.580927488,TRUE,200
"Biopython","pure Python",100,1,0.185000000000002,0.0222,0.162800000000002,4504.5045045045,0.010420224,TRUE,200
"Biopython","pure Python",100,2,0.109000000000009,0.0207,0.0883000000000089,4830.91787439614,0.010268672,TRUE,200
"Biopython","pure Python",100,3,0.114000000000004,0.0203,0.0937000000000043,4926.10837438424,0.010170368,TRUE,200
"Biopython","pure Python",300,1,0.157000000000011,0.0625,0.0945000000000107,4800,0.010420224,TRUE,200
"Biopython","pure Python",300,2,0.173000000000002,0.0671,0.105900000000002,4470.9388971684,0.010379264,TRUE,200
"Biopython","pure Python",300,3,0.167000000000002,0.0638,0.103200000000002,4702.19435736677,0.010522624,TRUE,200
"Biopython","pure Python",1000,1,0.311999999999983,0.2073,0.104699999999983,4823.92667631452,0.01079296,TRUE,200
"Biopython","pure Python",1000,2,0.300000000000011,0.2072,0.0928000000000114,4826.25482625483,0.010645504,TRUE,200
"Biopython","pure Python",1000,3,0.299000000000007,0.2073,0.0917000000000066,4823.92667631452,0.010698752,TRUE,200
