"strategy","n_workers","n_tasks","wall_compute_s","startup_s","work_s","work_ratio","longest_task_s","speedup","efficiency","max_rss_gb"
"static",1,24,590.5,0,590.5,1,55.2,1,1,4.75
"static",2,24,431.9,7.1,613.9,1.04,57.1,1.37,0.68,4.06
"static",3,24,328,7.9,638.2,1.08,60.8,1.8,0.6,4.06
"static",4,24,270,8.1,656.5,1.11,61.9,2.19,0.55,3.85
"static",5,24,251,9,730,1.24,70.7,2.35,0.47,3.7
"static",6,24,244.6,9.7,906.3,1.53,92.4,2.41,0.4,3.35
"dynamic",1,24,589.1,0,589.1,1,53.4,1,1,4.74
"dynamic",2,24,318.2,7.4,620.7,1.05,59.4,1.85,0.93,3.86
"dynamic",3,24,237.4,7.2,683.9,1.16,63.6,2.48,0.83,3.38
"dynamic",4,24,209.8,8.2,795.8,1.35,69.7,2.81,0.7,2.9
"dynamic",5,24,236.4,8.7,1093.9,1.86,88.2,2.49,0.5,2.67
"dynamic",6,24,262,9.9,1481.9,2.52,127.5,2.25,0.37,2.15
"segment",1,73,578.5,0,578.5,1,11.5,1,1,4.87
"segment",2,73,320.2,6.9,629.1,1.09,13.8,1.81,0.9,2.58
"segment",3,73,227.9,7.8,665.3,1.15,15.6,2.54,0.85,2.58
"segment",4,73,193.9,8.3,736.9,1.27,15.7,2.98,0.75,2.34
"segment",5,73,180,9,842.6,1.46,17.5,3.21,0.64,1.86
"segment",6,73,194,9.8,1085.9,1.88,22.6,2.98,0.5,1.77
