"rep","strategy","n_workers","chr","start","end","bp","n_win","secs","load_s","secs_wall","rss_gb","pid"
1,"static",1,"chr1",1,248956422,248956422,1152300,55.191,0,55.191,3.121709056,64341
1,"static",1,"chr2",1,242193529,242193529,1202711,47.93,0,47.93,3.703660544,64341
1,"static",1,"chr3",1,198295559,198295559,990471,40.665,0,40.665,3.421208576,64341
1,"static",1,"chr4",1,190214555,190214555,948744,36.52,0,36.52,4.063043584,64341
1,"static",1,"chr5",1,181538259,181538259,906291,35.611,0,35.611,4.155756544,64341
1,"static",1,"chr6",1,170805979,170805979,850378,34.907,0,34.907,3.831017472,64341
1,"static",1,"chr7",1,159345973,159345973,794833,30.674,0,30.674,4.086861824,64341
1,"static",1,"chrX",1,156040895,156040895,774435,30.28,0,30.28,4.159623168,64341
1,"static",1,"chr8",1,145138636,145138636,723830,28.737,0,28.737,4.173422592,64341
1,"static",1,"chr9",1,138394717,138394717,608909,25.64,0,25.64,3.881447424,64341
1,"static",1,"chr11",1,135086622,135086622,672654,27.037,0,27.037,4.042022912,64341
1,"static",1,"chr10",1,133797422,133797422,666239,25.086,0,25.086,3.939209216,64341
1,"static",1,"chr12",1,133275309,133275309,665659,25.474,0,25.474,4.434214912,64341
1,"static",1,"chr13",1,114364328,114364328,489897,18.864,0,18.864,4.589207552,64341
1,"static",1,"chr14",1,107043718,107043718,452819,17.959,0,17.959,4.212473856,64341
1,"static",1,"chr15",1,101991189,101991189,423190,16.501,0,16.501,4.450902016,64341
1,"static",1,"chr16",1,90338345,90338345,409010,15.468,0.0010000000000332,15.4690000000001,4.407386112,64341
1,"static",1,"chr17",1,83257441,83257441,414555,15.3009999999999,0,15.3009999999999,4.410486784,64341
1,"static",1,"chr18",1,80373285,80373285,400407,17.0920000000001,0.000999999999976353,17.0930000000001,3.812356096,64341
1,"static",1,"chr20",1,64444167,64444167,319636,11.5169999999999,0,11.5169999999999,3.89097472,64341
1,"static",1,"chr19",1,58617616,58617616,292197,10.548,0,10.548,4.132052992,64341
1,"static",1,"chrY",1,57227415,57227415,132019,7.40600000000006,0,7.40600000000006,4.388593664,64341
1,"static",1,"chr22",1,50818468,50818468,195751,8.51900000000001,0,8.51900000000001,4.192555008,64341
1,"static",1,"chr21",1,46709983,46709983,200395,7.56499999999994,0.000999999999976353,7.56599999999992,3.878854656,64341
1,"static",2,"chr1",1,248956422,248956422,1152300,57.119,7.299,64.418,3.165151232,67141
1,"static",2,"chr2",1,242193529,242193529,1202711,49.692,0,49.692,3.235467264,67141
1,"static",2,"chr3",1,198295559,198295559,990471,40.716,0,40.716,4.063473664,67141
1,"static",2,"chr4",1,190214555,190214555,948744,37.591,0.00100000000000477,37.592,3.891519488,67141
1,"static",2,"chr5",1,181538259,181538259,906291,36.502,0,36.502,3.705257984,67141
1,"static",2,"chr6",1,170805979,170805979,850378,33.609,0,33.609,3.594932224,67141
1,"static",2,"chr7",1,159345973,159345973,794833,31.286,0,31.286,3.717545984,67141
1,"static",2,"chrX",1,156040895,156040895,774435,30.744,0.000999999999976353,30.745,4.059021312,67141
1,"static",2,"chr8",1,145138636,145138636,723830,27.868,0,27.868,3.893743616,67141
1,"static",2,"chr9",1,138394717,138394717,608909,27.04,0,27.04,3.906449408,67141
1,"static",2,"chr11",1,135086622,135086622,672654,25.684,0,25.684,3.658276864,67141
1,"static",2,"chr10",1,133797422,133797422,666239,26.922,0,26.922,3.850661888,67141
1,"static",2,"chr12",1,133275309,133275309,665659,33.277,7.298,40.575,2.147168256,67129
1,"static",2,"chr13",1,114364328,114364328,489897,19.023,0,19.023,2.437984256,67129
1,"static",2,"chr14",1,107043718,107043718,452819,19.643,0,19.643,2.50740736,67129
1,"static",2,"chr15",1,101991189,101991189,423190,17.078,0.00100000000000477,17.079,2.295549952,67129
1,"static",2,"chr16",1,90338345,90338345,409010,17.113,0,17.113,2.476494848,67129
1,"static",2,"chr17",1,83257441,83257441,414555,17.801,0,17.801,2.502475776,67129
1,"static",2,"chr18",1,80373285,80373285,400407,16.497,0.000999999999976353,16.498,2.491629568,67129
1,"static",2,"chr20",1,64444167,64444167,319636,13.19,0,13.19,2.358849536,67129
1,"static",2,"chr19",1,58617616,58617616,292197,11.666,0,11.666,2.441936896,67129
1,"static",2,"chrY",1,57227415,57227415,132019,8.13899999999998,0.00100000000000477,8.13999999999999,2.778669056,67129
1,"static",2,"chr22",1,50818468,50818468,195751,7.57000000000002,0,7.57000000000002,2.451685376,67129
1,"static",2,"chr21",1,46709983,46709983,200395,8.167,0,8.167,2.486501376,67129
1,"static",3,"chr1",1,248956422,248956422,1152300,61.313,8.198,69.511,3.09694464,69078
1,"static",3,"chr2",1,242193529,242193529,1202711,53.103,0,53.103,3.167145984,69078
1,"static",3,"chr3",1,198295559,198295559,990471,39.766,0,39.766,3.584622592,69078
1,"static",3,"chr4",1,190214555,190214555,948744,37.692,0.000999999999976353,37.693,3.933564928,69078
1,"static",3,"chr5",1,181538259,181538259,906291,36.247,0,36.247,3.72097024,69078
1,"static",3,"chr6",1,170805979,170805979,850378,32.139,0.000999999999976353,32.14,3.871195136,69078
1,"static",3,"chr7",1,159345973,159345973,794833,30.824,0,30.824,3.778379776,69078
1,"static",3,"chrX",1,156040895,156040895,774435,30.479,0.0010000000000332,30.48,4.059635712,69078
1,"static",3,"chr8",1,145138636,145138636,723830,39.051,8.198,47.25,2.029563904,69068
1,"static",3,"chr9",1,138394717,138394717,608909,27.98,0,27.98,2.543710208,69068
1,"static",3,"chr11",1,135086622,135086622,672654,30.229,0.00100000000000477,30.23,2.56823296,69068
1,"static",3,"chr10",1,133797422,133797422,666239,27.887,0,27.887,2.835738624,69068
1,"static",3,"chr12",1,133275309,133275309,665659,26.697,0,26.697,2.652786688,69068
1,"static",3,"chr13",1,114364328,114364328,489897,20.231,0.00100000000000477,20.232,2.82427392,69068
1,"static",3,"chr14",1,107043718,107043718,452819,18.28,0.00100000000000477,18.281,2.703855616,69068
1,"static",3,"chr15",1,101991189,101991189,423190,18.25,0,18.25,2.612424704,69068
1,"static",3,"chr16",1,90338345,90338345,409010,24.834,8.197,33.031,1.77068032,69056
1,"static",3,"chr17",1,83257441,83257441,414555,18.134,0,18.134,2.027814912,69056
1,"static",3,"chr18",1,80373285,80373285,400407,17.798,0,17.798,2.119397376,69056
1,"static",3,"chr20",1,64444167,64444167,319636,14.966,0,14.966,2.213134336,69056
1,"static",3,"chr19",1,58617616,58617616,292197,13.353,0,13.353,2.145476608,69056
1,"static",3,"chrY",1,57227415,57227415,132019,7.33399999999999,0,7.33399999999999,2.400251904,69056
1,"static",3,"chr22",1,50818468,50818468,195751,8.46600000000001,0,8.46600000000001,2.378862592,69056
1,"static",3,"chr21",1,46709983,46709983,200395,8.60899999999999,0,8.60899999999999,2.36464128,69056
1,"static",4,"chr1",1,248956422,248956422,1152300,62.906,8.158,71.064,2.454188032,70611
1,"static",4,"chr2",1,242193529,242193529,1202711,53.73,0,53.73,3.227471872,70611
1,"static",4,"chr3",1,198295559,198295559,990471,40.554,0.00100000000000477,40.555,3.661205504,70611
1,"static",4,"chr4",1,190214555,190214555,948744,36.813,0.000999999999976353,36.814,3.742347264,70611
1,"static",4,"chr5",1,181538259,181538259,906291,36.11,0,36.11,3.662467072,70611
1,"static",4,"chr6",1,170805979,170805979,850378,31.522,0,31.522,3.854471168,70611
1,"static",4,"chr7",1,159345973,159345973,794833,40.153,8.157,48.31,2.207514624,70601
1,"static",4,"chrX",1,156040895,156040895,774435,35.408,0,35.408,2.824278016,70601
1,"static",4,"chr8",1,145138636,145138636,723830,32.602,0,32.602,2.63172096,70601
1,"static",4,"chr9",1,138394717,138394717,608909,26.63,0,26.63,2.910449664,70601
1,"static",4,"chr11",1,135086622,135086622,672654,28.093,0,28.093,2.830483456,70601
1,"static",4,"chr10",1,133797422,133797422,666239,25.316,0,25.316,2.771427328,70601
1,"static",4,"chr12",1,133275309,133275309,665659,32.962,8.157,41.119,1.920569344,70591
1,"static",4,"chr13",1,114364328,114364328,489897,21.593,0,21.593,2.146766848,70591
1,"static",4,"chr14",1,107043718,107043718,452819,22.37,0,22.37,2.357743616,70591
1,"static",4,"chr15",1,101991189,101991189,423190,18.795,0,18.795,2.086191104,70591
1,"static",4,"chr16",1,90338345,90338345,409010,17.683,0,17.683,2.342518784,70591
1,"static",4,"chr17",1,83257441,83257441,414555,17.776,0,17.776,2.404204544,70591
1,"static",4,"chr18",1,80373285,80373285,400407,19.565,8.156,27.721,1.704689664,70580
