"rep","strategy","n_workers","chr","start","end","bp","n_win","secs","load_s","secs_wall","rss_gb","pid"
1,"static",2,"chr22",1,50818468,50818468,195751,11.183,6.713,17.896,1.267728384,57871
1,"static",2,"chr21",1,46709983,46709983,200395,11.486,6.713,18.199,1.273679872,57861
1,"static",3,"chr22",1,50818468,50818468,195751,10.98,7.22,18.2,1.267859456,57982
1,"static",3,"chr21",1,46709983,46709983,200395,11.265,7.22,18.486,1.222234112,57972
1,"dynamic",2,"chr22",1,50818468,50818468,195751,11.176,7.011,18.187,1.266888704,58092
1,"dynamic",2,"chr21",1,46709983,46709983,200395,11.497,7.009,18.506,1.276145664,58082
1,"dynamic",3,"chr22",1,50818468,50818468,195751,11.606,8.14,19.746,1.265577984,58212
1,"dynamic",3,"chr21",1,46709983,46709983,200395,11.894,8.139,20.033,1.271545856,58201
1,"segment",2,"chr22",1,50000000,5e+07,191709,12.597,8.288,20.885,1.429897216,58324
1,"segment",2,"chr21",1,46709983,46709983,200395,12.554,8.286,20.84,1.406738432,58314
1,"segment",2,"chr22",50000001,50818468,818468,4042,0.622,0,0.622,1.478836224,58314
1,"segment",3,"chr22",1,50000000,5e+07,191709,12.58,7.767,20.347,1.418272768,58461
1,"segment",3,"chr21",1,46709983,46709983,200395,12.43,7.766,20.196,1.3938688,58449
1,"segment",3,"chr22",50000001,50818468,818468,4042,1.717,7.766,9.483,0.86120448,58437
