"rep","strategy","n_workers","chr","start","end","bp","n_win","secs","rss_gb","pid"
1,"static",2,"chr22",1,50818468,50818468,195751,19.124,1.22515456,55597
1,"static",2,"chr21",1,46709983,46709983,200395,19.334,1.272967168,55587
1,"static",3,"chr22",1,50818468,50818468,195751,18.845,1.22447872,55811
1,"static",3,"chr21",1,46709983,46709983,200395,19.176,1.271566336,55801
1,"dynamic",2,"chr22",1,50818468,50818468,195751,18.552,1.225187328,55926
1,"dynamic",2,"chr21",1,46709983,46709983,200395,18.833,1.224638464,55917
1,"dynamic",3,"chr22",1,50818468,50818468,195751,19.92,1.227567104,56049
1,"dynamic",3,"chr21",1,46709983,46709983,200395,20.154,1.2220416,56039
1,"segment",2,"chr22",1,50000000,5e+07,191709,20.993,1.478807552,56180
1,"segment",2,"chr21",1,46709983,46709983,200395,20.91,1.448075264,56170
1,"segment",2,"chr22",50000001,50818468,818468,4042,0.620000000000001,1.519972352,56170
1,"segment",3,"chr22",1,50000000,5e+07,191709,21.333,1.462689792,56309
1,"segment",3,"chr21",1,46709983,46709983,200395,21.282,1.449496576,56298
1,"segment",3,"chr22",50000001,50818468,818468,4042,10.365,0.85774336,56288
